city,zip,total,cat,dog,total_surg,cat_surg,dog_surg
Atlanta,30318,3561,1280,2281,2263,1172,1091
Atlanta,30314,1170,169,1001,712,135,577
Atlanta,30311,737,175,562,515,149,366
Atlanta,30310,1739,405,1334,1198,353,845
Atlanta,30315,1347,359,988,1002,318,684
Chicago,60644,344,151,193,284,135,149
Chicago,60624,824,445,379,675,408,267
Chicago,60612,429,215,214,367,204,163
Chicago,60623,7193,3117,4076,5366,2686,2680
Chicago,60608,1732,767,965,1496,723,773
Chicago,60632,2017,831,1186,1829,803,1026
Los Angeles,90031,791,520,271,689,486,203
Los Angeles,90032,854,396,458,718,346,372
Los Angeles,90033,6025,1740,4285,3969,1360,2609
Los Angeles,90063,2131,603,1528,1574,502,1072
Los Angeles,90023,4905,1436,3469,3421,1121,2300
Los Angeles,90022,1341,411,930,981,326,655
Philly,19140,4341,2203,2138,2770,1705,1065
Philly,19132,1091,886,205,920,105,815
Philly,19133,1460,787,673,1084,640,444
Philly,19134,2357,1151,1206,1711,932,779
Philly,19121,1064,908,156,907,805,102
Philly,19122,265,143,122,155,100,55
